noise,mae_0.25x,width_0.25x,mae_0.5x,width_0.5x,mae_1.0x,width_1.0x,mae_2.0x,width_2.0x,mae_4.0x,width_4.0x,mae_data_driven,width_data_driven,selected_budget_ratio
0.0100,0.0475,0.1800,0.0425,0.1750,0.0575,0.1825,0.0650,0.1925,0.0875,0.2400,0.0500,0.1775,3.3380
0.0300,0.0925,0.1875,0.1100,0.1925,0.1150,0.1950,0.1000,0.2075,0.1200,0.2200,0.1175,0.2350,6.8917
